"Source:","/Users/tomwatson/Documents/GitHub/Kicadprojects/MOSFETAmp/MOSFETAmp.kicad_sch"
"Date:","2026-08-18T21:49:35"
"Tool:","Eeschema 10.0.5"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","47"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1","1","100uF","C_Polarized","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","Polarized capacitor","",""
"C2, C5, C12","3","220pF","C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor","",""
"C3","1","1uF","C","Capacitor_THT:C_Rect_L7.2mm_W5.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","Unpolarized capacitor","",""
"C4, C6, C7, C8, C10","5","100nF","C","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","Unpolarized capacitor","",""
"C9, C11","2","220uF","C_Polarized","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","Polarized capacitor","",""
"D1, D2, D3","3","1N4001","1N4001","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","50V 1A General Purpose Rectifier Diode, DO-41","",""
"D4, D5","2","1N4740","1N47xxA","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","1300mW Silicon planar power Zener diodes, DO-41","",""
"F1, F2","2","5A","Fuse","Fuse:Fuseholder_Cylinder-5x20mm_Stelvio-Kontek_PTF78_Horizontal_Open","Fuse","",""
"J1","1","IN","Conn_01x02_Socket","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","Generic connector, single row, 01x02, script generated","",""
"J2","1","OUT","62409-1","","","",""
"J3","1","VEE","62409-1","","","",""
"J4","1","VCC","62409-1","","","",""
"J5","1","PGND","62409-1","","","",""
"Q1, Q4, Q5","3","MPSA42","MPSA42","Package_TO_SOT_THT:TO-92L_Inline_Wide","0.5A Ic, 300V Vce, NPN High Voltage Transistor, TO-92","",""
"Q2, Q3","2","BC559","BC559","Package_TO_SOT_THT:TO-92L_Inline_Wide","0.1A Ic, 30V Vce, PNP Small Signal Transistor, TO-92","",""
"Q6","1","BC549","BC549","Package_TO_SOT_THT:TO-92L_Inline_Wide","0.1A Ic, 30V Vce, Small Signal NPN Transistor, TO-92","",""
"Q7","1","ECX10P20","Q_PMOS_GSD","Package_TO_SOT_THT:TO-247-3_Horizontal_TabDown","P-MOSFET transistor, gate/source/drain","",""
"Q8","1","ECX10N20","Q_NMOS_GSD","Package_TO_SOT_THT:TO-247-3_Horizontal_TabDown","N-MOSFET transistor, gate/source/drain","",""
"Q9","1","MJE350","Q_PNP_ECB","Package_TO_SOT_THT:TO-126-3_Vertical","PNP transistor, emitter/collector/base","",""
"R1, R7, R8","3","560R","R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","Resistor","",""
"R2, R3, R10","3","1K","R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","Resistor","",""
"R4, R6","2","22K","R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","Resistor","",""
"R5, R9","2","2R7","R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","Resistor","",""
"R11","1","47K","R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","Resistor","",""
"R12, R13","2","6K8","R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","Resistor","",""
"RV1","1","2K","R_Potentiometer","Potentiometer_THT:Potentiometer_Vishay_T93YA_Vertical","Potentiometer","",""
