"Source:","/Users/tomwatson/Documents/GitHub/Kicadprojects/SignalPowerOn/SignalPowerOn.kicad_sch"
"Date:","2026-08-18T21:58:34"
"Tool:","Eeschema 10.0.5"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","38"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1","1","470uF","C_Polarized","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","Polarized capacitor","",""
"C2","1","47nF","C","Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm","Unpolarized capacitor","",""
"C3","1","100nF","C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","Unpolarized capacitor","",""
"C4, C5, C6, C7, C8","5","33uF","C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","Polarized capacitor","",""
"D1","1","DF06S","DF06S","Diode_SMD:Diode_Bridge_OnSemi_SDIP-4L","Bridge Rectifier, 420V Vrms, 1.5A If, SMDIP-4","",""
"D2, D5","2","1N4148","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","100V 0.15A standard switching diode, DO-35","",""
"D3","1","1N4007","1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","1000V 1A General Purpose Rectifier Diode, DO-41","",""
"D4","1","5.1VZ","D_Zener","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","Zener diode","",""
"F1","1","T3.15A","Fuse","Fuse:Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open","Fuse","",""
"J1","1","LIVE IN","62409-1","Spade connector:TE_62409-1","Tab Brass Straight PCB 0.250 x 0.032 in. 0.055 in. (PCB) Tin | TE Connectivity 62409-1","",""
"J2","1","NEUTRAL IN","62409-1","Spade connector:TE_62409-1","Tab Brass Straight PCB 0.250 x 0.032 in. 0.055 in. (PCB) Tin | TE Connectivity 62409-1","",""
"J3","1","AUDIO IN","Conn_01x03_Socket","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","Generic connector, single row, 01x03, script generated","",""
"J4","1","NEUTRAL OUT","62409-1","Spade connector:TE_62409-1","Tab Brass Straight PCB 0.250 x 0.032 in. 0.055 in. (PCB) Tin | TE Connectivity 62409-1","",""
"J5","1","SWITCHED LIVE","62409-1","Spade connector:TE_62409-1","Tab Brass Straight PCB 0.250 x 0.032 in. 0.055 in. (PCB) Tin | TE Connectivity 62409-1","",""
"K1","1","SDT-S-112DMR","Relay_SPST-NO","Relay_THT:Relay_SPST_Omron_G2RL-1A","Relay SPST, normally open, EN50005","",""
"Q1","1","2N7000","2N7000","Package_TO_SOT_THT:TO-92L_Inline_Wide","0.2A Id, 200V Vds, N-Channel MOSFET, 2.6V Logic Level, TO-92","",""
"Q2","1","BC549","BC549","Package_TO_SOT_THT:TO-92L_Inline_Wide","0.1A Ic, 30V Vce, Small Signal NPN Transistor, TO-92","",""
"R1, R2, R3, R13","4","10K","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor","",""
"R4","1","560R","R","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal","Resistor","",""
"R5","1","10R","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor","",""
"R6","1","1K","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor","",""
"R7, R10, R11, R12, R14","5","100K","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor","",""
"R8","1","10M","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor","",""
"R9","1","2K2","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor","",""
"T1","1","Block AVB 2,3/2/6","Transformer_1P_2S","Custom:AVB2.326 Transformer","Transformer, single primary, dual secondary","",""
"U1","1","LM358","LM358","Package_DIP:DIP-8_W7.62mm","Low-Power, Dual Operational Amplifiers, DIP-8/SOIC-8/TO-99-8","",""
