Source:,/Users/tomwatson/Documents/GitHub/Kicadprojects/SolarLights/SolarLights.kicad_sch,,,,,,
Date:,2026-08-18T21:09:16,,,,,,
Tool:,Eeschema 10.0.5,,,,,,
Generator:,/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value_with_fp.py,,,,,,
Component Count:,82,,,,,,
Ref,Qnty,Value,Cmp name,Footprint,Description,Vendor,DNP
"-   +3, -   +4, -   +5, -   +6",4,+   -,Conn_01x02_Socket,Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,"Generic connector, single row, 01x02, script generated",,
RXB6,1,~,RXB6,Custom:RXB6,,,
"1K6, 1K7, 1K9, 1K10, 1K20",5,100K,R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,Resistor,,
R3,1,100K,R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,Resistor,,
"C2, C3, C5, C6, C7, C8",6,100nF,C,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,Unpolarized capacitor,,
"1K22, 1K23, 1K24",3,100R,R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,Resistor,,
R2,1,100R,R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,Resistor,,
"100uF1, 100uF2, 100uF3, 100uF4",4,100uF,C_Polarized,Capacitor_THT:CP_Radial_D8.0mm_P2.50mm,Polarized capacitor,,
"100uH1, 100uH2, 100uH3, 100uH4",4,100uH,L,Inductor_THT:L_Radial_D10.5mm_P4.00x5.00mm_Murata_1200RS,Inductor,,
"1K2, 1K3, 1K4",3,1K,R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,Resistor,,
R1,1,1K,R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,Resistor,,
"1N5822, 1N5823, 1N5824, 1N5825",4,1N5822,1N5822,Diode_THT:D_DO-201AD_P15.24mm_Horizontal,"40V 3A Schottky Barrier Rectifier Diode, DO-201AD",,
C76,1,1uF,C,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,Unpolarized capacitor,,
C77,1,2.2uF,C,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,Unpolarized capacitor,,
"220uF1, 220uF2, 220uF3, 220uF4, 220uF5",5,220uF,C_Polarized,Capacitor_THT:CP_Radial_D6.3mm_P2.50mm,Polarized capacitor,,
"1K17, 1K18, 1K19",3,2K2,R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,Resistor,,
R4,1,2K2,R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,Resistor,,
"1K11, 1K12",2,33K,R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,Resistor,,
C1,1,4700uF,C_Polarized,Capacitor_THT:CP_Radial_D16.0mm_P7.50mm,Polarized capacitor,,
"1K13, 1K14, 1K15, 1K16",4,47K,R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,Resistor,,
"5K1, 5K2, 5K3, 5K4",4,5K,R_Potentiometer,Potentiometer_THT:Potentiometer_Vishay_T93YA_Vertical,Potentiometer,,
TP1,1,ANTENNA,TestPoint,TestPoint:TestPoint_Pad_D4.0mm,test point,,
"Q1, Q2, Q3, Q4",4,AO3400A,AO3400A,Package_TO_SOT_SMD:SOT-23,"30V Vds, 5.7A Id, N-Channel MOSFET, SOT-23",,
IC9,1,AP2205,AP2205-50YR-13,Custom:2205,LDO CMOS LowCurr SOT89 T&R 2.5K,,
U1,1,ATtiny1616,ATtiny1616-S,Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm,"20MHz, 16kB Flash, 2kB SRAM, 256B EEPROM, SOIC-20",,
J2,1,BAT 12V,62409-1,Spade connector:TE_62409-1,,,
J1,1,BAT GND,62409-1,Spade connector:TE_62409-1,,,
"D3, D4, D5, D6",4,CH4,LED,LED_THT:LED_D5.0mm,Light emitting diode,,
IC3,1,LEARN,TS02-66-50-BK-100-SCR-D,Custom:TS026650BK100SCRD,"TS02-66-50-BK-100-SCR-D - 6 x 6 mm, 5 mm Actuator Height, 100 gf, Black, Short Crimped, Through Hole, SPST, Tactile Switch",,
"LM2596-ADJ1, LM2596-ADJ2, LM2596-ADJ3, LM2596-ADJ4",4,LM2596T-ADJ,LM2596T-ADJ,Package_TO_SOT_THT:TO-220-5_P3.4x3.7mm_StaggerOdd_Lead3.8mm_Vertical,"Adjustable 3A 150kHz Step-Down Voltage Regulator, TO-220",,
J6,1,PROG,Conn_01x03_Socket,Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,"Generic connector, single row, 01x03, script generated",,
J4,1,SENSE 12V,62409-1,Spade connector:TE_62409-1,,,
J5,1,SENSE GND,62409-1,Spade connector:TE_62409-1,,,
J3,1,SENSE IN,62409-1,Spade connector:TE_62409-1,,,
IC2,1,TEST,TS02-66-50-BK-100-SCR-D,Custom:TS026650BK100SCRD,"TS02-66-50-BK-100-SCR-D - 6 x 6 mm, 5 mm Actuator Height, 100 gf, Black, Short Crimped, Through Hole, SPST, Tactile Switch",,
