"Source:","/Users/tomwatson/Documents/GitHub/PCM3128/PCM3250-SPLIT/PCM3250-SPLIT.kicad_sch"
"Date:","2026-09-01T18:14:08"
"Tool:","Eeschema 10.0.5"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","212"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1, C11, C12, C13","4","1nF","C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor","",""
"C2, C4, C5, C6","4","33nF","C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor","",""
"C3, C14, C15, C16","4","220nF","C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","Unpolarized capacitor","",""
"C7, C8, C9, C10","4","1uF","C","Capacitor_THT:C_Rect_L18.0mm_W8.0mm_P15.00mm_FKS3_FKP3","Unpolarized capacitor","",""
"C17, C18, C19, C20, C21, C22","6","1uF","C","Capacitor_THT:C_Rect_L7.2mm_W5.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","Unpolarized capacitor","",""
"C23, C24, C50, C51, C52, C53, C54, C55, C56, C57","10","220pF","C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor","",""
"C25, C27, C32, C37, C44, C45, C46, C47, C64, C65, C66, C67, C68, C70, C72, C77, C78, C79, C85, C96, C112","21","100nF","C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","Unpolarized capacitor","",""
"C26, C28, C29","3","10uF","C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor","",""
"C30","1","100nF","C","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","Unpolarized capacitor","",""
"C31","1","330nF","C","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","Unpolarized capacitor","",""
"C33, C34, C38, C39, C40","5","22uF","C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","Unpolarized capacitor","",""
"C35, C41","2","2200uF","C_Polarized","Capacitor_THT:CP_Radial_D16.0mm_P7.50mm","Polarized capacitor","",""
"C36","1","10nF","C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor","",""
"C42, C43","2","2.2uF","C","Capacitor_THT:C_Rect_L7.2mm_W7.2mm_P5.00mm","Unpolarized capacitor","",""
"C48, C49, C74, C75, C76, C80, C84, C87, C88, C89, C90, C91, C94, C95, C98, C99, C100, C101, C102, C104, C106, C108, C110, C111","24","1uF","C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","Unpolarized capacitor","",""
"C58, C59, C81, C82, C83, C86, C97, C103, C105, C107","10","10uF","C_Polarized","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","Polarized capacitor","",""
"C60, C63","2","18pF","C","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","Unpolarized capacitor","",""
"C61, C62","2","330pF","C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor","",""
"C69, C71, C73, C109, C120, C123, C124","7","47uF","C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","Polarized capacitor","",""
"C92, C93","2","1000uF","C_Polarized","Capacitor_THT:CP_Radial_D12.5mm_P5.00mm","Polarized capacitor","",""
"D1","1","ZD 12V","D_Zener_Filled","Diode_THT:D_DO-201AD_P12.70mm_Horizontal","Zener diode, filled shape","",""
"D2","1","1N4007","1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","1000V 1A General Purpose Rectifier Diode, DO-41","",""
"F1","1","5A","Fuse","Fuse:Fuse_Littelfuse_395Series","Fuse","",""
"IC3","1","TPS65133","TPS65133DPDR","SON45P300X300X80-13N-D","Split-Rail Converter, +/-5V, 250mA Dual Output Power Supply","",""
"J1","1","L +","62409-1","","Tab Brass Straight PCB 0.250 x 0.032 in. 0.055 in. (PCB) Tin | TE Connectivity 62409-1","",""
"J2","1","L -","62409-1","","Tab Brass Straight PCB 0.250 x 0.032 in. 0.055 in. (PCB) Tin | TE Connectivity 62409-1","",""
"J3","1","R +","62409-1","","Tab Brass Straight PCB 0.250 x 0.032 in. 0.055 in. (PCB) Tin | TE Connectivity 62409-1","",""
"J4","1","R -","62409-1","","Tab Brass Straight PCB 0.250 x 0.032 in. 0.055 in. (PCB) Tin | TE Connectivity 62409-1","",""
"J6","1","PROG","Conn_01x03_Socket","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","Generic connector, single row, 01x03, script generated","",""
"J7","1","PSU HEADER 1","Conn_01x06_Socket","Connector_JST:JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical","Generic connector, single row, 01x06, script generated","",""
"J8","1","POWER SW","Conn_01x02_Socket","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","Generic connector, single row, 01x02, script generated","",""
"J9","1","AMP HEADER 1","Conn_01x06_Socket","Connector_JST:JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical","Generic connector, single row, 01x06, script generated","",""
"J10","1","PSU HEADER 2","Conn_01x08_Socket","Connector_JST:JST_XH_B8B-XH-A_1x08_P2.50mm_Vertical","Generic connector, single row, 01x08, script generated","",""
"J11","1","AUDIO IN","Conn_01x03_Socket","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","Generic connector, single row, 01x03, script generated","",""
"J12","1","VOL","Conn_01x03_Socket","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","Generic connector, single row, 01x03, script generated","",""
"J13","1","AMP HEADER 2","Conn_01x08_Socket","Connector_JST:JST_XH_B8B-XH-A_1x08_P2.50mm_Vertical","Generic connector, single row, 01x08, script generated","",""
"J14, J15","2","PVDD","Conn_01x02_Socket","Connector_Molex:Molex_KK-396_A-41791-0002_1x02_P3.96mm_Vertical","Generic connector, single row, 01x02, script generated","",""
"J16","1","POWER IN","Conn_01x02_Socket","Connector_Molex:Molex_KK-396_A-41791-0002_1x02_P3.96mm_Vertical","Generic connector, single row, 01x02, script generated","",""
"K3","1","Relay_SPST-NO","Relay_SPST-NO","Relay_THT:Relay_SPST_Omron_G2RL-1A","Relay SPST, normally open, EN50005","",""
"L1, L2","2","4.7uH","L","Inductor_SMD:L_1008_2520Metric_Pad1.43x2.20mm_HandSolder","Inductor","",""
"L3","1","6.8uH","L","Custom:SRP6030WA-6R8M","Inductor","",""
"L4","1","12uH","L","Custom:SRR1050A-120Y","Inductor","",""
"L5, L6","2","10uH","L_Coupled_1243","Custom:CSAD0660-100M","Coupled inductor","",""
"Q1","1","DMP4015SK3","DMP4015SK3-13","DMP4015SK313","Diodes Inc DMP4015SK3-13 P-channel MOSFET Transistor, 11 A, -40 V, 3-Pin TO-252","",""
"R1, R2, R3, R4","4","1R","R","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","Resistor","",""
"R5, R6, R51","3","1K","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor","",""
